IDNO,CLASSCODE,SEX,EXAM,HW,ABSENT,GRADE
190,U3,F,78,97.7,1,A
191,U4,M,84,99.4,0,A
192,U3,F,48,79.6,4,D
193,U4,F,66,99.8,8,B
194,U3,F,45,98.8,4,C
195,U2,F,72,90.1,7,C
196,U3,F,87,97.5,5,A
197,U2,F,51,95.6,0,C
198,U2,F,69,98.8,2,B
199,U2,M,72,90.9,2,B
200,U2,F,72,98.6,3,A
201,U3,F,69,92.5,0,B
202,U4,F,75,95.5,10,C
203,U4,F,63,98.9,4,C
204,U4,F,69,97.6,1,B
205,U3,M,72,90,14,B
206,U4,F,96,99.7,1,A
207,U4,M,51,86.1,15,D
208,U3,F,81,99,0,A
209,U3,F,99,99.1,0,A
210,U3,F,57,95.9,2,C
211,U3,M,75,69.8,7,C
212,U2,M,66,91.7,2,C
213,U2,M,57,81.4,10,C
214,U2,M,54,67,7,D
215,U2,F,84,98.2,1,B
216,U3,F,69,81.9,9,C
217,U3,F,75,97.6,15,B
218,U3,F,78,99.7,2,B
219,U3,M,69,96.6,0,C
220,U3,F,87,99.7,0,A
221,U2,F,78,96.8,0,B
222,U2,F,90,98.1,4,A
223,U2,M,60,91.9,4,C
224,U2,M,33,38.7,14,F
225,U2,F,96,100,0,A
226,U2,F,87,98.7,7,A
227,U2,F,75,99.5,0,B
228,U2,F,60,98.2,1,C
229,U3,F,90,96.7,11,B
230,U4,M,57,97.5,7,C
231,U3,F,84,95,0,B
232,U3,M,45,83.1,3,D
233,U3,M,,,16,F
234,U4,M,81,97.3,2,B
235,U4,M,72,91.3,1,B
236,U4,F,48,87.5,4,D
237,U4,F,90,100,1,A
238,U4,M,39,79.1,8,F
239,U4,F,,16.6,15,F
240,U3,M,72,92.7,3,B
241,U3,F,69,96.1,3,B
242,U3,F,57,99.8,2,C
243,U4,F,81,97.5,2,B
244,U3,F,66,98.8,0,B
245,U3,M,84,98.6,0,A
246,U4,F,81,99.8,2,A
247,U3,M,96,95.9,6,A
248,U3,F,84,99,7,A
249,U2,F,45,44.1,13,F
250,U2,M,93,100,1,A
251,U3,F,84,100,0,A
252,U4,F,90,99.4,0,A
253,U4,F,60,92.4,0,B
254,U2,F,90,99.1,1,A
255,U3,F,81,99.1,0,B
256,U2,F,60,91.4,7,C
257,U3,M,99,99.2,0,A
258,U2,M,72,85.7,7,C
259,U3,F,90,98.9,3,A
260,U2,F,90,99,2,A
261,U3,F,51,79.8,6,D
